Name	Category	Subcategory	Type	XP Cost	FP Cost	Prereq Skill	Prereq Role	Prereq Power	Prereq Level	Tags	Description	Mechanic
Creature Link	Companion	None	Passive	2				Creature Connection	2	Companion	You have developed a strong bond with your Companion over time, and can hear its thoughts in your mind.	Some checks can now be made through your Companion using their Skills and Attributes. The GM determines if a check can reasonably be made through your Companion.
Creature Mastery	Companion	None	Passive	2				Creature Connection	2	Companion	Your connection with your chosen creature has deepened, allowing you to increase the creature's power.	Your Companion gains 1 Health Point and +1 to their Primary Skill modifier.
Fated Draw	Game Mechanics	Adjust Odds	Major	2	2				3		Your connection to the Fates is heightened and you feel you can shift the odds in your favor.	When making a Check, you can draw with the Upper Hand (3).
Lucky	Game Mechanics	Adjust Odds	Passive	1						Suited Miss	Not everything goes your way, but for one reason or another, you seem to avoid the worst.	On a Suited Miss, you may redraw once. This Power cannot be used multiple times on the same check.
Luck Shared	Game Mechanics	Adjust Odds	Minor	1						Suited Hit	You know just how to spread the luck around. When things are going your way, you can share that vibe.	When you get a Suited Hit, on your next turn, you may use a Minor Action to choose one creature you can see. For their next turn, or the next 6 seconds if out of combat, all draws are made with the Upper Hand.
Scrying	Game Mechanics	Adjust Odds	Major	1	1				2	Card Viewing	Your intuition is heightened and you can anticipate moments coming in the near future.	You can a look at your top 2 cards of your deck and discard up to two of them. You must make a Draw before using this Power again.
Scrying, Advanced	Game Mechanics	Adjust Odds	Major	2	2			Scrying	3	Card Viewing	Your connection to this divine sense has strengthened.	You can a look at your top 3 cards of your deck and discard up to three of them. You must make a Draw before using this Power again.
Aces Wild	Game Mechanics	Fate Cards	Passive	2					3	Fate Cards	You have attuned to the wild magic of Aces. When using an Ace as a Fate Card, it grants additional effects depending on the suit.	['Rather than re-drawing using an Ace, you can use Aces as an Action to trigger an effect corresponding to their suit. When you choose this Power (up to twice), select two of the following effects.', 'Ace of Clubs: you can play this card to interrupt an enemy’s turn and make a single Major ction - even if you already went that round', 'Ace of Diamonds: As a Minor Action, you recover 3 FP OR you and up to three allies each recover 1 FP', 'Ace of Hearts: As a Minor Action, you can heal 2 HP for yourself or an ally you can see within 5 squares', 'Ace of Spades: As a Minor Action, you can strike an enemy with an automatic hit with a Power of your choosing']
Barrier	Magic	None	Major	2	[1, 2]		['Support', 'Caster']				Your skills allow you to deploy temporary impromptu walls	You create a wall 3/5 spaces wide. You may dismiss this wall at any time as a Free Action. This wall is impervious to standard attacks, but may be worn down over time at the GM's discretion.
Illusion	Magic	None	Major	2	[1, 2]		Caster				Your skills let you conjure illusory effects.	You make an illusory intangible visual (no larger than 1 space) or auditory effect that you've heard before. To determine if it's real, a character makes a Contested Conviction Check. For 2 FP, you can generate both visual and auditory effects, and the check to verify draws with the Lower Hand.
Mystic Recovery	Magic	None	Minor	1			['Support', 'Caster']				Be still and meditate to draw energy from deep within you.	As a Minor Action, recover 1 FP. If you take no other Actions or movement on this turn, recover 3. This may be done up to a number of times equal to your level per Rest.
Speedy	Movement	Speed	Passive	1						Combat	You’re quicker than the rest.	When you take this Power, your combat speed increases by 2 squares.
Stealthy Surprise	Movement	Stealth	Minor	1		Stealth > 1				Stealth	An undetected assailant is particularly deadly.	You may Hide as a Minor Action.
Stealth in the Shadows	Movement	Stealth	Passive	1		Stealth > 1				Stealth	A creature of the dark, you're especially adept at going unseen.	When you make a Stealth check in dim light or darkness, you draw with the Upper Hand.
Stealth's Call	Movement	Stealth	Major	1	1	Stealth > 1				['Stealth', 'Multi-target']	By luck or by magical effect, you know just how to distract those who might catch you lurking.	You cause an illusory sound to emanate from a point you can see within 10 spaces. You make a Contested Primary Skill Check vs. Detection for any targets within 4 spaces of this point. On failure, they draw Detection Checks at Lower Hand until they leave the area.
Stealth's Blessing	Movement	Stealth	Major	2	[1, 2]	Stealth > 2			2	['Stealth', 'Multi-target']	You channel a deep energy to go unseen.	Until your next rest, or use of a Major or Minor Power, your stealth checks are made with Upper Hand. For 2 FP, this effect extends to up to 3 characters. This effect ends for any character who Attacks.
Calculating	Roleplay	None	Major	1	1	['Knowledge > 1', 'Investigation > 1']			2	Difficulty Prediction	You concentrate and assess the nature of the task at hand to determine how difficult it might be.	Describe an action you or an ally wishes to take and how you would assess the situation, spending the FP. Depending on your description, the GM may reveal the exact DR or approximate DR (e.g., > 2) of this action before anyone chooses to take it.
Cunning	Roleplay	None	Passive	1							You're sharper than the rest when you take your time.	Choose one Skill other than your Primary Skill. On turns when you only make 1 non-attack action using this Skill, draw with Upper Hand. This power may be taken multiple times for additional Skills.
Focused	Roleplay	None	Passive	0							There's some domain that completely captivates you. When you're invested, you know exactly how to proceed and there's no distracting you. You barely see the outside world.	Choose one Skill. When engaged in a non-instantaneous task that involves that skill, you draw with the Upper Hand. During this time, you also have the Inattentive Vulnerability and are also unable to perceive the world outside this task. Draw with the Lower Hand for any Skill check made that is not directly related to your current task.
Handy	Roleplay	None	Passive	1		['Craft > 1', 'Knowledge > 1']					You know how to work with your hands (e.g., machining, lock picking, tailoring).	Work with your GM to decide a trade with which your character is familiar. When making a check to to perform this craft, draw with the Upper Hand.
Keen Eye	Roleplay	None	Passive	1							You’re especially adept at taking in the world around you.	When you make a Detection check to observe the world around you (visual, auditory or olfactory), draw with the Upper Hand.
